stock_number,vin,year,make,model,trim,body_style,selling_price,mileage,city_mpg,highway_mpg,drivetrain,exterior_color,features,photo_url,vdp_url
BW4100,984CVX6G59T5M47EU,2023,Honda,Civic,Sport,Sedan,16900,42147,30,37,FWD,Magnetic Gray,Blind-spot monitor|Remote start|Android Auto|Adaptive cruise|Apple CarPlay|Heated steering wheel,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4101,FNSHCUZKAX8JR7J9V,2019,Jeep,Gladiator,Sport,Truck,17000,59492,17,22,4WD,Midnight Black,Adaptive cruise|One owner|Apple CarPlay,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4102,N1AG1EDZZBB97XW5X,2022,Jeep,Grand Cherokee,Laredo,SUV,22900,46527,19,26,4WD,Midnight Black,Sunroof|Clean title|Heated steering wheel,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4103,6RE2CNMCD5N7BJPJL,2020,Ram,1500,Big Horn,Truck,22300,70527,18,23,4WD,Lunar Rock,Adaptive cruise|Backup camera|Clean title|Tow package,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4104,683V6MX75HUGPRAF6,2019,FIAT,500X,Trekking,SUV,9600,73216,24,30,AWD,Midnight Black,Adaptive cruise|Tow package|Apple CarPlay|Heated seats|Blind-spot monitor,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4105,HUPVUJGTG4LGDZMG9,2023,Jeep,Cherokee,Latitude Plus,SUV,22300,37550,21,29,4WD,Midnight Black,Backup camera|Heated steering wheel|Remote start|Clean title|Blind-spot monitor,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4106,T3ADGSBWHGZX6C2XP,2022,Jeep,Wrangler,Sport S,SUV,23900,38230,20,24,4WD,Ruby Flare,Adaptive cruise|One owner|Remote start|Blind-spot monitor|Backup camera|Android Auto,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4107,VYVHW3XBYNDHLHHCJ,2023,Ram,1500 Classic,Tradesman,Truck,26800,29328,17,23,4WD,Midnight Black,Heated steering wheel|One owner|Backup camera|Heated seats|Adaptive cruise,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4108,RJMB2TKRBBU73TXJF,2023,Jeep,Compass,Latitude,SUV,20300,33738,24,32,4WD,Cavalry Blue,Tow package|Heated seats|Clean title|Backup camera,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4109,S7DR9K20RUYN0Z667,2023,Jeep,Renegade,Latitude,SUV,18300,30056,23,29,4WD,Magnetic Gray,Android Auto|Apple CarPlay|Adaptive cruise|One owner|Sunroof,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4110,CMFW0TJGBPWC21L9G,2023,Chrysler,Pacifica,Touring L,Minivan,26800,43657,19,28,FWD,Sandstone,Apple CarPlay|Adaptive cruise|Blind-spot monitor,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4111,NLVVVZJ1NA74ZLBMX,2022,Subaru,Impreza,Base,Hatchback,14200,43874,27,34,AWD,Magnetic Gray,Apple CarPlay|Heated seats|Remote start|Tow package,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4112,SJGX8GE1TWHZ78HSZ,2023,Ram,1500,Laramie,Truck,38000,26960,18,23,4WD,Oxford White,Heated steering wheel|Blind-spot monitor|Remote start|Clean title|Tow package|Adaptive cruise,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4113,49YX82XMN6RZZ31PK,2022,Chevrolet,Silverado 1500,LT,Truck,28700,42339,17,21,4WD,Super White,Clean title|Heated steering wheel|Apple CarPlay|Adaptive cruise|Backup camera|One owner,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4114,URYKHUV622BY3YG8P,2023,Dodge,Grand Caravan,SXT,Minivan,18900,33996,17,25,FWD,Midnight Black,Blind-spot monitor|One owner|Clean title|Heated seats|Adaptive cruise|Heated steering wheel,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4115,377YACRHUXBP69U0F,2018,Jeep,Wrangler,Sport S,SUV,12300,81028,20,24,4WD,Cavalry Blue,Tow package|Heated seats|Remote start|Apple CarPlay,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4116,WF3JGBU3CM9R7YYZX,2021,Toyota,Highlander,XLE,SUV,22200,69530,21,28,AWD,Oxford White,Backup camera|Sunroof|Blind-spot monitor|Clean title|Heated seats|Heated steering wheel,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4117,6N0U92WPD3E9W7F9X,2020,Dodge,Durango,SXT,SUV,17000,53637,18,25,AWD,Sandstone,Blind-spot monitor|One owner|Clean title|Heated steering wheel|Apple CarPlay|Heated seats,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4118,1GPB6SP49J9PU8JX0,2020,Dodge,Grand Caravan,SXT,Minivan,13700,81119,17,25,FWD,Sandstone,Tow package|Heated steering wheel|Clean title|Android Auto|Apple CarPlay|Backup camera,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4119,DCUWMJUZJ6LMDMK38,2020,Ford,Escape,SE,SUV,13900,75022,26,31,AWD,Cavalry Blue,Backup camera|Android Auto|Tow package,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4120,XK9C7ADGZTYBL9NF4,2019,Chrysler,Pacifica,Limited,Minivan,16300,80039,19,28,FWD,Cavalry Blue,Android Auto|Apple CarPlay|Clean title|Heated steering wheel|Sunroof|Remote start,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4121,60PW57FPNHFZLHMP4,2020,Kia,Sportage,LX,SUV,13300,72513,23,28,AWD,Ruby Flare,Adaptive cruise|Heated seats|Tow package|Apple CarPlay,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
BW4122,6UZ8JGKRZ61DXTF66,2022,Ram,ProMaster 1500,Base,Van,23200,52128,17,22,FWD,Ruby Flare,Tow package|Clean title|One owner|Remote start|Backup camera,,https://www.bricknersofwausau.net/search/used-wausau-wi/?cy=54403&tp=used
